sample_id	G000	G001	G002	G003	G004	G005	G006	G007	G008	G009	G010	G011	G012	G013	G014	G015	G016	G017	G018	G019	G020	G021	G022	G023	G024	G025	G026	G027	G028	G029	G030	G031	G032	G033	G034	G035	G036	G037	G038	G039	G040	G041	G042	G043	G044	G045	G046	G047	G048	G049	G050	G051	G052	G053	G054	G055	G056	G057	G058	G059	G060	G061	G062	G063	G064	G065	G066	G067	G068	G069	G070	G071	G072	G073	G074	G075	G076	G077	G078	G079
S010	0.684162	1.934230	5.334482	0.877278	5.173126	0.731149	4.167594	0.399042	2.519264	6.287623	7.791853	3.437080	2.669988	0.677650	2.350908	0.644267	6.703409	2.439531	1.763443	3.080740	5.508840	1.691689	0.259469	0.409560	0.895743	1.620071	1.632225	0.370478	0.467523	1.044938	0.459875	0.353977	0.297270	0.863450	0.281501	0.779510	0.290579	0.526061	0.330055	0.161329	0.787226	2.181087	0.164349	0.470223	2.615438	1.893057	2.083370	1.678276	0.670664	0.265056	1.310542	0.591519	11.220344	1.612953	1.072898	0.527364	1.914008	3.005617	1.338772	4.434444	0.200593	0.727513	3.016193	5.359423	3.291943	4.259563	1.727416	0.340621	0.825028	3.030597	0.370701	0.384585	4.162838	2.733967	0.817344	3.957399	1.325755	1.376172	0.017917	0.043734
S011	0.641795	1.809238	5.171632	0.239286	4.795901	0.661921	3.729708	0.018185	2.522828	6.263179	7.776264	3.612059	2.618046	0.802854	2.273110	0.857155	6.666205	2.405218	1.716997	2.883332	5.313208	1.669435	0.432403	0.680950	0.819022	1.369864	4.394544	0.750155	1.329611	2.849703	1.217824	0.179069	0.676561	2.082350	0.830286	2.311738	0.511369	1.297973	0.931292	0.470429	1.628727	4.711667	0.319561	1.220008	5.427283	4.987802	4.568037	4.433189	1.540432	1.185822	2.698307	1.927839	3.662035	0.619864	0.365122	0.452211	0.648721	0.927984	0.489458	1.588635	0.167007	0.917953	1.213553	1.645065	0.972262	1.273283	0.588776	0.209325	0.315255	1.256778	0.352986	0.457613	1.368811	0.895227	0.934969	1.244013	0.789266	0.428511	0.035571	0.010768
S012	0.307846	0.602812	1.215039	1.216723	1.592944	0.273758	0.945741	0.348958	0.822989	1.886878	2.137260	0.971023	0.628006	0.515135	0.577740	0.174907	1.889686	0.847306	0.745764	1.029151	1.301890	0.439369	0.407976	0.198062	0.285535	0.438293	5.821678	0.972339	1.645669	3.740138	1.632126	0.786370	1.020492	2.952819	1.162663	2.612252	0.585625	1.778082	1.125691	0.501971	2.063331	6.125347	0.371255	1.746422	7.314979	6.685221	5.770045	5.941638	2.101495	0.898408	3.599369	1.809219	24.952977	3.035052	2.633381	1.115425	4.606442	6.408218	2.754734	10.204406	0.360278	1.655081	6.999960	12.297059	7.694197	9.499837	3.434949	0.829208	1.642378	7.272871	0.183381	0.579660	9.421376	5.640284	0.784825	9.510815	1.735128	2.838196	0.237051	0.026594
S013	0.847173	2.614746	7.495714	0.200910	6.755359	0.920752	5.476045	0.189010	3.521673	8.898933	10.575576	4.695989	3.714053	0.988591	3.400012	1.034726	9.550087	3.434150	2.127097	4.359469	7.798204	2.558061	0.451831	0.987455	1.340901	2.236830	1.650967	0.332536	0.522043	1.324224	1.172635	0.087999	0.269454	0.972976	0.298779	0.808447	0.623954	0.748783	0.352839	0.463187	0.845313	2.427509	0.409434	0.478302	2.080762	1.850108	1.940729	2.109448	0.674185	0.610109	1.052003	0.555083	3.057334	0.651317	0.402636	0.173676	0.730540	0.822413	0.498492	1.107510	0.217053	0.411053	0.804039	1.357202	0.891739	1.335232	0.437567	0.129111	0.516099	0.771788	0.785113	0.179674	1.086223	0.634811	0.746896	1.058161	0.899438	0.434517	0.026115	0.031051
S014	1.211160	4.156595	11.066346	1.081854	10.095528	1.371847	7.870619	0.053782	5.240299	13.035689	16.198380	7.002707	5.476447	1.438407	5.547408	1.115628	13.848779	5.143508	3.557233	6.180906	11.304049	3.491397	0.514808	0.812972	1.831693	3.140737	3.502662	0.739517	1.099275	2.302074	0.997380	0.392044	0.600423	1.825626	0.647153	1.733242	0.637077	1.734129	0.756209	0.347929	1.148224	4.618795	0.262318	1.044680	4.507146	4.008951	3.926566	3.767670	1.437748	0.628025	2.238429	1.135790	13.328038	2.196065	1.262859	1.316724	2.388820	3.421891	2.508723	5.307001	0.561245	0.992727	3.589739	6.244799	3.860208	4.822431	1.831651	0.454981	1.046059	3.576542	0.767027	0.727522	4.827462	3.116046	1.359575	4.709182	1.864573	1.515705	0.022584	0.029140
S015	1.485215	4.088775	11.767465	0.356357	10.489742	1.620610	8.305959	0.247558	5.631796	13.792095	16.665903	7.266539	5.873345	1.598747	5.338402	1.167317	14.646470	5.298261	3.257080	6.530220	11.951216	4.617430	0.556444	0.859539	2.039239	3.056663	5.419405	0.978747	1.588494	4.113982	1.565586	0.326058	0.763390	2.669582	0.968961	2.948930	1.076264	1.670730	1.109691	0.542029	1.142127	6.471904	0.350965	1.694839	7.065360	5.893332	5.979027	5.648159	1.961637	0.840043	3.401773	1.773093	4.435562	1.020023	0.448479	0.176513	0.999559	1.222203	0.897287	1.917541	0.209458	0.795811	1.433763	1.941287	1.236387	1.561431	0.553198	0.169105	0.579656	1.253706	1.001583	0.303214	1.643937	0.954141	1.476941	1.623592	1.400240	0.607253	0.006570	0.329237
S016	0.494623	0.496997	1.204974	0.443637	1.250696	0.161858	0.894011	0.367735	1.022584	1.894618	1.806027	0.798840	0.705379	0.613649	0.940389	0.177833	1.986281	0.666177	0.523551	0.711979	1.221360	0.544414	0.441803	0.301936	0.223036	0.465488	7.710404	1.070424	2.317460	5.005066	2.193638	0.292481	1.059581	3.573837	1.427810	3.562247	0.661315	2.366500	1.508547	0.769360	1.630442	7.370938	0.487819	2.372816	9.848985	8.393389	7.782413	7.543070	2.297893	1.152405	4.745337	2.585048	7.643905	1.902638	0.727979	0.579852	1.349411	1.974283	0.966692	3.036223	0.117186	0.621967	2.259798	3.706033	2.227515	2.879051	1.053174	0.306677	0.732678	2.052933	0.838129	0.288811	3.167794	1.795342	0.309934	2.607298	0.634996	0.828257	0.129054	0.082345
S017	0.707543	2.219008	6.184408	0.399034	5.705082	0.788483	4.412267	0.052933	2.932057	7.464579	8.729236	3.862715	3.371722	0.960679	2.716197	0.648844	7.789718	2.844239	2.040247	3.667388	6.465320	2.447946	0.351284	0.462614	0.983713	1.618115	3.474810	0.649898	1.056274	2.226530	0.956741	0.203437	0.696933	1.706162	0.613390	1.627344	0.515488	1.117441	0.716566	0.736346	0.840444	4.176521	0.232064	1.016053	4.278139	3.777073	3.687714	3.575330	1.162749	0.544137	2.215018	1.199287	6.339234	1.018771	0.607706	0.589785	1.161100	1.623165	1.072122	2.552527	0.374799	0.770196	1.743223	3.121337	1.814633	2.410856	1.116363	0.211551	0.544409	1.678234	0.466573	0.311692	2.411117	1.406581	0.819193	2.194813	1.017943	0.849194	0.087836	0.054152
S018	0.421109	1.190972	2.971980	0.539102	2.866227	0.745953	2.167799	0.187445	1.450470	3.583183	4.454564	1.924772	1.520872	0.568686	1.576385	0.538663	3.790733	1.643209	1.148887	2.208268	3.132139	0.936096	0.267880	0.258471	0.587021	1.113721	2.514468	0.509835	0.734290	1.674913	0.728206	0.306798	0.429555	1.336778	0.452673	1.187197	0.304088	1.179743	0.553634	0.476917	0.923040	2.847102	0.172016	0.705434	3.413365	2.960443	2.640763	2.584566	1.376773	0.628214	2.063917	0.905872	10.973480	1.479448	1.144859	0.840571	2.130965	2.763382	1.394149	4.444073	0.173486	0.712159	2.971195	5.826731	3.267507	4.167424	1.541109	0.466801	0.868674	3.000218	0.216307	0.234475	4.211177	2.547099	0.600718	3.870843	1.350620	1.270954	0.416759	0.416468
S019	0.546640	1.497062	4.245421	0.328546	3.912618	0.552915	3.219969	0.026055	2.116469	5.123542	5.981110	2.654810	2.084265	0.634287	1.928480	0.452640	5.394844	1.945085	1.218562	2.450783	4.353216	1.328490	0.442782	0.356236	0.706768	1.191516	3.252906	0.544713	1.095139	2.132439	0.915890	0.180226	0.474704	1.620925	1.037042	1.564757	0.533479	1.086475	0.747809	0.490275	0.847546	3.605380	0.208862	0.878590	4.066739	4.009796	3.808455	3.313773	1.063929	0.488873	2.022306	1.114424	4.023804	0.812427	0.383368	0.170124	0.660290	1.039059	1.051975	1.688858	0.272367	0.513347	1.149468	1.861267	1.163581	1.613700	0.529422	0.167400	0.334659	1.107337	0.355291	0.247457	1.655637	0.881226	0.480970	1.355135	0.644526	0.536962	0.170223	0.017296
S020	0.310261	0.521162	1.301457	0.097415	1.271429	0.263660	0.978239	0.057099	0.918836	1.874677	1.815837	1.099229	0.744772	0.398683	0.628156	0.157817	1.908718	0.668493	0.407595	1.107981	1.345422	0.472122	0.190195	0.231228	0.225527	0.637056	4.569535	0.639820	1.325065	2.976091	2.027560	0.156086	0.606211	2.138357	0.795766	2.133924	0.418263	1.348606	1.077122	0.485656	1.019884	4.409871	0.330514	1.267978	5.671450	5.004136	4.883902	4.659994	1.561918	0.681469	3.085929	1.677660	0.763292	0.131872	0.558831	0.116845	0.210556	0.285452	0.184371	0.266796	0.034400	0.333510	0.310468	0.372619	0.278304	0.217292	0.134635	0.080145	0.345768	0.194201	0.101046	0.321665	0.498075	0.200075	0.148175	0.200085	0.345109	0.401691	0.086640	0.012383
S021	0.236493	0.459458	1.208585	0.194802	1.146835	0.247458	0.905012	0.052430	0.648820	1.684791	2.033571	0.799981	0.602517	0.301521	0.546459	0.130905	1.664850	0.797623	0.359266	0.688999	1.259231	0.385732	0.137113	0.159575	0.322209	0.769697	2.735991	0.388397	0.815901	1.994371	0.802123	0.298358	0.474936	1.376324	0.518644	1.256106	0.268971	0.844865	0.542068	0.242680	0.589015	2.712389	0.216342	0.941448	3.528016	3.177070	2.833024	2.720778	1.083560	0.470211	1.715286	1.182078	2.238510	0.411269	0.215951	0.159833	0.776053	0.574909	0.343575	0.932477	0.088440	0.205229	0.858179	1.151808	0.650583	1.002527	0.325653	0.167045	0.179501	0.616049	0.701870	0.132322	1.022627	0.719293	0.179116	0.869504	0.469777	0.486591	0.118872	0.003687
S022	0.644351	1.101357	2.992655	0.390223	2.751270	0.362158	2.138172	0.016989	1.948637	4.123137	4.269437	2.034715	1.465204	0.911889	1.346339	0.316887	4.317399	1.441374	0.911625	1.647980	3.581202	1.022247	0.537566	0.331271	0.705167	0.899981	10.570632	1.637951	3.288245	6.959274	3.013914	0.187151	1.383277	4.945102	1.838565	5.056056	0.952373	3.517814	2.416996	1.089148	1.914280	10.238641	0.754822	2.777809	13.079984	11.402002	10.792919	10.472417	3.292772	1.554384	6.546803	3.367836	2.681191	0.739544	0.533563	0.257001	0.443326	0.883211	0.505400	1.319967	0.083535	1.177638	1.086514	1.290130	1.061844	1.242872	0.362300	0.243184	0.269268	0.775718	1.093824	0.279865	1.360794	0.780252	0.334185	0.927188	0.494649	0.326816	0.004680	0.471275
S023	0.679964	1.643593	4.607351	0.242807	4.305783	0.583163	3.302813	0.016537	2.379421	5.689794	7.365301	2.891759	2.288757	0.819127	2.032304	0.501032	6.163246	2.267291	1.312375	3.320145	4.736160	1.976200	0.393814	0.495285	0.760739	1.283864	5.310439	0.935312	1.581151	3.480391	1.793089	0.134716	0.921845	2.623175	1.074685	2.468402	0.581464	1.580120	1.059998	0.481601	1.111817	5.589774	0.617019	1.450282	6.934093	5.751435	5.524436	5.455387	1.795370	0.879515	3.292146	2.201527	3.276711	0.842125	0.446202	0.214178	0.542252	0.893625	1.167048	1.349345	0.293012	0.349710	1.313008	1.540070	1.002434	1.324971	0.722774	0.278916	0.489626	0.871995	0.345292	0.562136	1.366682	0.809775	0.500628	1.318989	0.649472	0.416819	0.779239	0.040712
S024	0.569048	1.055516	3.029790	0.190987	2.726380	0.364710	2.116932	0.031373	1.647452	3.815086	4.186104	1.868415	1.533194	0.654969	1.295747	0.444535	4.186158	1.408551	0.969336	1.680375	3.255029	0.937083	0.731483	0.310226	0.469062	1.052464	5.950754	0.931685	1.704350	3.845284	1.666097	0.134373	0.808561	2.717471	1.077872	2.944177	0.586210	1.739597	1.218029	0.899069	1.108689	5.752704	0.464191	2.204409	7.182891	6.363561	5.945720	5.814433	1.774139	1.184427	3.807811	1.944767	2.158835	0.372172	0.226371	0.090619	0.430476	0.661038	0.440701	1.113966	0.085169	0.411360	0.822997	0.991503	0.570821	0.767498	0.268690	0.119204	0.295547	0.576367	0.213827	0.582120	0.919086	0.631037	0.458304	0.789695	0.439221	0.296409	0.117996	0.008004
S025	0.198137	0.516981	1.353734	0.380821	1.371022	0.211190	1.025064	0.257300	0.726504	1.753532	2.196034	0.884573	0.724217	0.254896	0.675216	0.148133	1.851716	0.645305	0.494719	0.782143	1.730801	0.560183	0.296423	0.294112	0.319974	0.424460	2.024016	0.387744	0.642732	1.703964	0.682900	0.192284	0.464273	1.036319	0.460000	1.127981	0.215283	0.779085	0.386963	0.381049	0.646086	2.038931	0.175152	0.533249	2.630047	2.205439	2.016840	1.938673	0.615968	0.442703	1.224976	0.630674	7.369340	0.934129	0.699635	0.327016	1.290981	1.947944	0.897243	2.996677	0.264737	0.874001	2.051786	3.581299	2.188601	2.772810	1.007446	0.269382	0.598761	2.073308	0.104410	0.533665	2.770916	1.676585	0.324944	2.630273	0.608459	1.049332	0.025796	0.025239
S026	0.849117	1.506333	4.211562	1.263211	4.001841	0.599021	3.058219	0.105302	2.293244	5.908059	6.109158	3.086129	2.126690	1.172417	1.895358	0.846230	6.027721	2.317620	1.583157	2.355197	4.330206	1.476311	0.702108	0.517107	0.698984	1.355716	13.334764	1.843693	3.669604	8.318642	3.562960	0.328130	1.772568	5.938559	2.300256	5.794970	1.168534	3.755666	3.475283	1.130480	2.451950	12.458906	0.803893	3.352266	15.778188	13.787441	12.970401	12.690330	3.881818	1.885833	8.036064	4.061704	7.798676	1.197637	0.877552	0.346717	1.529294	2.186822	1.678899	3.208622	0.217071	0.967703	2.664280	3.796363	2.629550	2.977730	1.116564	0.357261	0.648619	2.261722	0.331463	0.615234	3.289686	1.878182	0.763691	2.723890	0.895369	0.904911	0.118870	0.042445
S027	0.664343	0.944991	2.652123	0.310251	2.510530	0.329200	2.103578	0.011418	1.561167	3.185953	3.713282	1.645448	1.468630	0.444857	1.134293	0.419974	3.367618	1.195945	1.017678	1.464941	2.920826	1.060279	0.304138	0.226689	0.412009	0.717886	3.073283	0.471057	1.080960	1.982023	0.855313	0.226467	0.445987	1.532711	0.528035	1.788303	0.318612	0.910120	0.592100	0.329345	0.749584	3.253950	0.260357	0.911527	3.855365	3.281188	3.418657	2.977982	0.943076	0.439819	1.878007	0.976243	5.017245	0.705149	0.490424	0.476470	1.290822	1.278026	1.153398	1.996461	0.094853	0.465036	1.423872	2.534917	1.722989	1.886595	0.772223	0.172301	0.443747	1.639604	0.224726	0.318712	1.912729	1.128796	0.418188	1.933518	0.605363	0.657739	0.020395	0.299259
S028	0.453222	0.925253	2.467548	0.626792	2.500870	0.334996	1.768196	0.017897	1.261133	3.260981	3.676132	1.599353	1.240014	0.545679	1.136094	0.268814	3.375232	1.217698	0.906085	1.385622	2.593184	0.846762	0.322976	0.464602	0.607540	0.776014	4.942578	0.837537	1.376186	3.153549	1.359136	0.503707	1.072265	2.340141	0.838270	2.244796	0.463353	1.450001	1.331369	0.449659	1.297444	4.874165	0.767497	1.333270	6.064962	5.330164	4.914532	4.752811	1.500853	0.821609	3.007904	1.518583	11.396781	1.554665	1.180272	0.552007	2.041379	2.864038	1.284951	4.573039	0.182902	0.977779	3.259788	5.530126	3.341354	4.273039	1.555646	0.393400	0.776111	3.153819	1.102792	0.281443	4.345116	2.630301	0.527109	3.976214	0.954759	1.555008	0.019699	0.256325
S029	0.553554	0.656383	1.727248	0.279912	1.646366	0.493737	1.471076	0.110704	0.933046	2.240940	2.499149	1.683295	0.894811	0.387210	1.894034	0.292072	3.100005	0.886557	0.557557	0.980912	1.776408	0.547702	0.365821	0.186414	0.428422	1.587507	3.613479	0.954182	1.137443	2.542650	1.005407	0.371488	0.524213	1.838725	0.620781	1.876651	0.353158	1.191956	1.356446	0.321301	0.762227	3.559376	0.284709	0.976517	4.447287	3.918382	3.652458	3.543538	1.095518	0.525703	2.215381	1.133446	3.874122	0.664859	0.377543	0.246048	0.667473	1.015450	0.459655	1.685362	0.350999	0.374751	1.497718	1.883476	1.216783	1.460350	0.539060	0.146528	0.353741	1.288542	0.477590	0.172726	1.548757	1.081446	0.258865	1.360114	0.550552	0.471597	0.406815	0.006130
S030	0.521077	0.857501	2.223569	0.608561	2.147699	0.584662	1.678799	0.010916	1.308639	3.130507	3.387445	1.513991	1.102996	0.757037	0.979419	0.337730	3.300306	1.097054	0.680650	1.569348	2.413229	0.762516	0.383486	0.290314	0.353786	0.695598	8.558967	1.249513	2.621084	5.700252	2.388452	0.353087	1.353486	4.004609	1.491215	4.068535	0.826350	2.649015	1.756382	0.766570	1.682071	8.386627	0.648120	2.491624	10.791739	9.302639	8.810233	8.532717	2.611532	1.891667	5.401610	3.041552	5.509562	1.062357	0.591355	0.247031	0.945472	1.711899	0.671393	2.386934	0.117967	0.572406	1.803265	2.894835	1.700724	2.411227	0.864118	0.481443	0.639306	1.536006	0.269876	0.240863	2.514545	1.347324	0.347490	2.245217	0.609385	0.833055	0.276003	0.020330
S031	0.422476	0.547065	1.482061	0.264209	1.452073	0.197489	1.055649	0.083258	1.120723	2.285958	2.122284	1.131144	1.035970	0.604888	0.735871	0.396768	2.616383	0.776218	0.487792	0.826154	1.523709	0.499116	0.382011	0.193714	0.380566	0.567042	7.981893	1.193026	2.393361	5.171749	2.460282	0.388032	1.125847	3.674595	1.775857	3.751103	0.858696	2.393084	1.563695	1.307936	1.459518	7.606000	0.632518	2.231990	9.822581	8.565428	8.126513	7.977606	2.363623	1.210921	4.910860	2.525952	2.888736	0.786970	0.327334	0.129634	0.626184	0.849028	0.367207	1.219609	0.218180	0.469755	1.049407	1.392695	0.903707	1.107719	0.581076	0.163613	0.305483	1.241481	0.208001	0.239296	1.484584	0.986306	0.288502	0.996822	0.353413	0.533178	0.005366	0.195676
S032	1.263234	3.459849	9.959624	0.741598	9.018944	1.223046	7.035157	0.043722	4.666360	11.563100	13.932585	6.175366	4.960585	1.493230	4.605055	1.175853	12.303602	4.479361	3.113113	5.729893	10.030923	3.302155	0.511037	0.785119	2.094975	2.585286	5.136142	0.976062	1.332474	3.116850	1.727372	0.350359	0.679195	2.235960	1.094895	2.075615	0.732616	2.058127	1.222863	0.529649	1.407499	5.359602	0.307966	1.277054	5.738359	5.007994	4.979157	4.646830	1.688608	0.691191	2.791899	1.443896	13.284342	1.968375	1.303338	0.617500	2.283950	3.408197	1.669913	5.230010	0.359849	0.948397	3.633421	6.337642	4.745374	4.907640	1.791712	0.425367	1.048351	3.607828	0.787122	0.490942	5.005006	3.003680	1.353334	4.629692	1.841265	1.521386	0.304167	0.121553
