archetype_id	protein	loading
P_A03	G028	0.000525
P_A03	G029	0.009577
P_A03	G030	0.004909
P_A03	G031	0.102032
P_A03	G032	0.035415
P_A03	G033	0.032858
P_A03	G034	0.001921
P_A03	G035	0.002214
P_A03	G036	0.000171
P_A03	G037	0.021789
P_A03	G038	0.001085
P_A03	G039	0.000014
P_A03	G040	0.198600
P_A03	G041	0.066055
P_A03	G042	0.003069
P_A03	G043	0.012734
P_A03	G044	0.058826
P_A03	G045	0.084733
P_A03	G046	0.000705
P_A03	G047	0.000001
P_A03	G048	0.014182
P_A03	G049	0.000834
P_A03	G050	0.009369
P_A03	G051	0.000291
P_A03	G052	4.432177
P_A03	G053	0.527446
P_A03	G054	0.417041
P_A03	G055	0.196036
P_A03	G056	0.776435
P_A03	G057	1.095419
P_A03	G058	0.480008
P_A03	G059	1.795602
P_A03	G060	0.054405
P_A03	G061	0.254079
P_A03	G062	1.175216
P_A03	G063	2.168972
P_A03	G064	1.313644
P_A03	G065	1.674441
P_A03	G066	0.608775
P_A03	G067	0.130442
P_A03	G068	0.285608
P_A03	G069	1.221917
P_A03	G070	0.009775
P_A03	G071	0.061439
P_A03	G072	1.637246
P_A03	G073	0.991953
P_A03	G074	0.120274
P_A03	G075	1.561595
P_A03	G076	0.279617
P_A03	G077	0.463637
P_A03	G078	0.006938
P_A03	G079	0.003988
